title,pdf_url,has_compute,has_energy,has_carbon,compute_matches,energy_matches,carbon_matches
Learning Cascade Ranking as One Network,https://raw.githubusercontent.com/mlresearch/v267/main/assets/wang25fc/wang25fc.pdf,True,True,False,GPU\s+memory,TDP,
Just Enough Shifts: Mitigating Over-Refusal in Aligned Language Models with Targeted Representation Fine-Tuning,https://raw.githubusercontent.com/mlresearch/v267/main/assets/dabas25a/dabas25a.pdf,True,False,False,H100; training\s+time,,
CRANE: Reasoning with constrained LLM generation,https://raw.githubusercontent.com/mlresearch/v267/main/assets/banerjee25a/banerjee25a.pdf,False,False,False,,,
SKOLR: Structured Koopman Operator Linear RNN for Time-Series Forecasting,https://raw.githubusercontent.com/mlresearch/v267/main/assets/zhang25be/zhang25be.pdf,True,False,False,V100; GPU\s+memory,,
UncertainSAM: Fast and Efficient Uncertainty Quantification of the Segment Anything Model,https://raw.githubusercontent.com/mlresearch/v267/main/assets/kaiser25a/kaiser25a.pdf,True,True,True,RTX\s?\d{4},energy\s+consumption,carbon\s+footprint
TCP-Diffusion: A Multi-modal Diffusion Model for Global Tropical Cyclone Precipitation Forecasting with Change Awareness,https://raw.githubusercontent.com/mlresearch/v267/main/assets/huang25y/huang25y.pdf,True,False,False,A100,,
Models of Heavy-Tailed Mechanistic Universality,https://raw.githubusercontent.com/mlresearch/v267/main/assets/hodgkinson25a/hodgkinson25a.pdf,True,True,False,training\s+time,MWh,
LASER: Attention with Exponential Transformation,https://raw.githubusercontent.com/mlresearch/v267/main/assets/duvvuri25a/duvvuri25a.pdf,True,False,False,A100; TPU[\s\-]?v\d,,
Revolve: Optimizing AI Systems by Tracking Response Evolution in Textual Optimization,https://raw.githubusercontent.com/mlresearch/v267/main/assets/zhang25aj/zhang25aj.pdf,True,False,False,GPU\s+memory,,
WMAdapter: Adding WaterMark Control to Latent Diffusion Models,https://raw.githubusercontent.com/mlresearch/v267/main/assets/ci25a/ci25a.pdf,False,False,False,,,
RePaViT: Scalable Vision Transformer Acceleration via Structural Reparameterization on Feedforward Network Layers,https://raw.githubusercontent.com/mlresearch/v267/main/assets/xu25o/xu25o.pdf,True,False,False,H100; A6000; FLOPs,,
Causality Inspired Federated Learning for OOD Generalization,https://raw.githubusercontent.com/mlresearch/v267/main/assets/zhang25ba/zhang25ba.pdf,False,False,False,,,
LipsNet++: Unifying Filter and Controller into a Policy Network,https://raw.githubusercontent.com/mlresearch/v267/main/assets/song25a/song25a.pdf,True,False,True,training\s+time; wall[\s\-]?clock,,LCA
Oscillation-Reduced MXFP4 Training for Vision Transformers,https://raw.githubusercontent.com/mlresearch/v267/main/assets/chen25bu/chen25bu.pdf,False,True,True,,energy\s+consumption,sustainable\s+AI
Covered Forest: Fine-grained generalization analysis of graph neural networks,https://raw.githubusercontent.com/mlresearch/v267/main/assets/vasileiou25a/vasileiou25a.pdf,True,False,True,A100,,LCA
Efficient Diffusion Models for Symmetric Manifolds,https://raw.githubusercontent.com/mlresearch/v267/main/assets/mangoubi25a/mangoubi25a.pdf,True,True,True,RTX\s?\d{4},MWh; energy\s+consumption,carbon\s+footprint; environmental\s+impact
The Limits of Predicting Agents from Behaviour,https://raw.githubusercontent.com/mlresearch/v267/main/assets/bellot25a/bellot25a.pdf,False,False,False,,,
RocketKV: Accelerating Long-Context LLM Inference via Two-Stage KV Cache Compression,https://raw.githubusercontent.com/mlresearch/v267/main/assets/behnam25a/behnam25a.pdf,True,False,False,A100; H100; RTX\s?\d{4}; TPU[\s\-]?v\d; GPU\s+memory; accelerator,,
Revealing Weaknesses in Text Watermarking Through Self-Information Rewrite Attacks,https://raw.githubusercontent.com/mlresearch/v267/main/assets/cheng25c/cheng25c.pdf,True,False,False,A100,,
Towards Global-level Mechanistic Interpretability: A Perspective of Modular Circuits of Large Language Models,https://raw.githubusercontent.com/mlresearch/v267/main/assets/he25x/he25x.pdf,True,False,False,A6000,,
Video Prediction Policy: A Generalist Robot Policy with Predictive Visual Representations,https://raw.githubusercontent.com/mlresearch/v267/main/assets/hu25g/hu25g.pdf,False,False,False,,,
A Reduction Framework for Distributionally Robust Reinforcement Learning under Average Reward,https://raw.githubusercontent.com/mlresearch/v267/main/assets/roch25a/roch25a.pdf,False,False,False,,,
"Speculate, then Collaborate: Fusing Knowledge of Language Models during Decoding",https://raw.githubusercontent.com/mlresearch/v267/main/assets/wang25e/wang25e.pdf,False,True,False,,kWh,
